timestamp,container,cpu_perc,mem_usage,net_io,block_io
1784302320.9173057,flink_w1-flink-identity-1,1.15%,394.9MiB / 31.28GiB,6.24MB / 23.9MB,50.1MB / 29.5MB
1784302320.9173057,stream-state-bench-flink-kafka,1.68%,760.8MiB / 31.28GiB,29.9MB / 33.5MB,20.5kB / 77.6MB
1784302337.942763,flink_w1-flink-identity-1,1.24%,395.2MiB / 31.28GiB,6.32MB / 24.2MB,50.1MB / 29.6MB
1784302337.942763,stream-state-bench-flink-kafka,284.45%,861.5MiB / 31.28GiB,30.2MB / 33.9MB,20.5kB / 78.7MB
1784302354.9671743,flink_w1-flink-identity-1,1.29%,395MiB / 31.28GiB,6.39MB / 24.4MB,50.1MB / 29.7MB
1784302354.9671743,stream-state-bench-flink-kafka,1.72%,760.6MiB / 31.28GiB,30.6MB / 34.3MB,20.5kB / 79.7MB
1784302372.0198855,flink_w1-flink-identity-1,1.22%,395MiB / 31.28GiB,6.48MB / 24.8MB,50.1MB / 29.8MB
1784302372.0198855,stream-state-bench-flink-kafka,250.38%,875.1MiB / 31.28GiB,31MB / 34.7MB,20.5kB / 80.4MB
1784302389.046421,flink_w1-flink-identity-1,1.13%,395.1MiB / 31.28GiB,6.56MB / 25.1MB,50.1MB / 29.9MB
1784302389.046421,stream-state-bench-flink-kafka,1.60%,761MiB / 31.28GiB,31.4MB / 35.1MB,20.5kB / 81.4MB
1784302406.0710123,flink_w1-flink-identity-1,1.29%,395.3MiB / 31.28GiB,6.64MB / 25.3MB,50.1MB / 30MB
1784302406.0710123,stream-state-bench-flink-kafka,109.89%,760.8MiB / 31.28GiB,31.7MB / 35.6MB,20.5kB / 82.2MB
1784302423.096045,flink_w1-flink-identity-1,1.59%,395.1MiB / 31.28GiB,6.71MB / 25.6MB,50.1MB / 30.1MB
1784302423.096045,stream-state-bench-flink-kafka,1.59%,761.8MiB / 31.28GiB,32.1MB / 36MB,20.5kB / 82.5MB
1784302439.5107787,flink_w1-flink-identity-1,1.25%,395.1MiB / 31.28GiB,6.8MB / 25.9MB,50.1MB / 30.2MB
1784302439.5107787,stream-state-bench-flink-kafka,6.61%,762MiB / 31.28GiB,32.5MB / 36.4MB,20.5kB / 83.4MB
1784302456.5392787,flink_w1-flink-identity-1,2.07%,395.2MiB / 31.28GiB,6.87MB / 26.2MB,50.1MB / 30.2MB
1784302456.5392787,stream-state-bench-flink-kafka,1.59%,760.9MiB / 31.28GiB,32.8MB / 36.8MB,20.5kB / 83.7MB
1784302473.5686858,flink_w1-flink-identity-1,1.08%,395.2MiB / 31.28GiB,6.96MB / 26.5MB,50.1MB / 30.3MB
1784302473.5686858,stream-state-bench-flink-kafka,112.33%,761.2MiB / 31.28GiB,33.2MB / 37.2MB,20.5kB / 85.1MB
1784302490.5952275,flink_w1-flink-identity-1,1.15%,395.2MiB / 31.28GiB,7.04MB / 26.8MB,50.1MB / 30.4MB
1784302490.5952275,stream-state-bench-flink-kafka,2.01%,761.2MiB / 31.28GiB,33.6MB / 37.6MB,20.5kB / 85.9MB
1784302506.987241,flink_w1-flink-identity-1,1.16%,395.2MiB / 31.28GiB,7.11MB / 27.1MB,50.1MB / 30.5MB
1784302506.987241,stream-state-bench-flink-kafka,3.44%,766.7MiB / 31.28GiB,34MB / 38.1MB,20.5kB / 86.7MB
1784302524.0157804,flink_w1-flink-identity-1,1.32%,395.2MiB / 31.28GiB,7.19MB / 27.4MB,50.1MB / 30.6MB
1784302524.0157804,stream-state-bench-flink-kafka,1.67%,761.6MiB / 31.28GiB,34.3MB / 38.5MB,20.5kB / 87.5MB
1784302541.0425625,flink_w1-flink-identity-1,1.09%,402.4MiB / 31.28GiB,7.27MB / 27.7MB,50.1MB / 30.6MB
1784302541.0425625,stream-state-bench-flink-kafka,107.92%,761.5MiB / 31.28GiB,34.7MB / 38.9MB,20.5kB / 88.6MB
1784302558.0673141,flink_w1-flink-identity-1,1.22%,402.4MiB / 31.28GiB,7.35MB / 28MB,50.1MB / 30.7MB
1784302558.0673141,stream-state-bench-flink-kafka,2.57%,765.1MiB / 31.28GiB,35.1MB / 39.3MB,20.5kB / 89.4MB
1784302574.46435,flink_w1-flink-identity-1,1.28%,405.6MiB / 31.28GiB,7.43MB / 28.3MB,50.1MB / 30.8MB
1784302574.46435,stream-state-bench-flink-kafka,1.81%,761.8MiB / 31.28GiB,35.5MB / 39.8MB,20.5kB / 90.2MB
1784302591.4936273,flink_w1-flink-identity-1,1.15%,405.6MiB / 31.28GiB,7.51MB / 28.6MB,50.1MB / 30.9MB
1784302591.4936273,stream-state-bench-flink-kafka,1.62%,761.8MiB / 31.28GiB,35.8MB / 40.2MB,20.5kB / 90.6MB
1784302608.5185986,flink_w1-flink-identity-1,1.29%,405.6MiB / 31.28GiB,7.59MB / 28.9MB,50.1MB / 30.9MB
1784302608.5185986,stream-state-bench-flink-kafka,1.56%,768.5MiB / 31.28GiB,36.2MB / 40.6MB,20.5kB / 90.9MB
1784302625.5466619,flink_w1-flink-identity-1,1.15%,405.6MiB / 31.28GiB,7.67MB / 29.2MB,50.1MB / 31MB
1784302625.5466619,stream-state-bench-flink-kafka,1.90%,762.1MiB / 31.28GiB,36.6MB / 41MB,20.5kB / 92.3MB
1784302642.5772588,flink_w1-flink-identity-1,1.24%,405.6MiB / 31.28GiB,7.75MB / 29.5MB,50.1MB / 31.1MB
1784302642.5772588,stream-state-bench-flink-kafka,4.03%,763.5MiB / 31.28GiB,36.9MB / 41.4MB,20.5kB / 93.4MB
1784302659.6115284,flink_w1-flink-identity-1,1.06%,405.7MiB / 31.28GiB,7.83MB / 29.8MB,50.1MB / 31.2MB
