event_id,send_time_ns,receive_time_ns,latency_ms
ss-5-480000,849433630877721,849436318901713,2688.024
ss-50-480000,849434305864732,849436318902053,2013.037
ss-51-480000,849434380898710,849436318902443,1938.004
ss-53-480000,849434780880382,849436318910113,1538.03
ss-54-480000,849432605900892,849436318910553,3713.01
ss-55-480000,849434455864069,849436318954493,1863.09
ss-57-480000,849434030874812,849436318955183,2288.08
ss-58-480000,849433830859591,849436318955623,2488.096
ss-59-480000,849434130850597,849436318959803,2188.109
ss-6-480000,849432755895480,849436318960293,3563.065
ss-62-480000,849433605886144,849436318967803,2713.082
ss-63-480000,849434330865328,849436318970723,1988.105
ss-64-480000,849432480874371,849436318971153,3838.097
ss-68-480000,849433181049578,849436318989903,3137.94
ss-69-480000,849432880883332,849436318990373,3438.107
ss-7-480000,849434205860176,849436319030903,2113.171
ss-70-480000,849434480871946,849436319031543,1838.16
ss-71-480000,849432930883404,849436319085553,3388.202
ss-72-480000,849433105897378,849436319085883,3213.189
ss-73-480000,849434005879756,849436319086293,2313.207
ss-74-480000,849433805878605,849436319086553,2513.208
ss-75-480000,849434705867073,849436319086803,1613.22
ss-76-480000,849433780888678,849436319087053,2538.198
ss-77-480000,849433480876533,849436319087333,2838.211
ss-79-480000,849433130887605,849436319107553,3188.22
ss-8-480000,849433930852526,849436319113313,2388.261
ss-80-480000,849432680884161,849436319113753,3638.23
